SalesOrderId,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
10717194,374.0,374.0,0.0,194.35,142.15,142.15,0.0,104.65,104.65,0.0,0.0,0.0,0.0
10717443,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10717476,28049.5,3381.0,24668.5,15158.74,11200.26,1690.5,9509.76,0.0,0.0,0.0,24668.5,9509.76,0.0
10717712,3670.0,3670.0,0.0,2385.5,1284.5,1284.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10717726,1995.0,1995.0,0.0,1294.75,700.25,700.25,0.0,700.25,700.25,0.0,0.0,0.0,0.0
10718212,4320.0,4320.0,0.0,3672.0,648.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10718315,2970.0,,2970.0,1559.25,1410.75,,1410.75,0.0,,0.0,2970.0,1410.75,0.0
10718329,29744.48,3992.0,25752.48,15454.83,12293.65,1996.0,10297.65,0.0,0.0,0.0,25752.48,10297.65,0.0
10718348,8640.0,8640.0,0.0,4147.2,3628.8,3628.8,0.0,61.93,61.93,0.0,0.0,0.0,0.0
10718379,2500.0,2500.0,0.0,2000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10718529,750.0,750.0,0.0,637.5,112.5,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10719083,2494.0,499.0,1995.0,1197.0,1047.5,249.5,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
10720902,1995.0,1995.0,0.0,,1995.0,1995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721455,416.0,416.0,0.0,,416.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721573,1044.0,1044.0,0.0,,1044.0,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10721588,1619.0,324.0,1295.0,777.0,680.0,162.0,518.0,0.0,0.0,0.0,1295.0,518.0,0.0
10722074,2105.17,2105.17,0.0,1473.62,631.55,631.55,0.0,631.55,631.55,0.0,0.0,0.0,0.0
10722909,2144.59,429.0,1715.59,999.38,930.71,214.5,716.21,0.0,0.0,0.0,1715.59,716.21,0.0
10723074,628.0,628.0,0.0,527.25,100.75,100.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
