Sales_Order,new_revenue,legacy_revenue,revenue_diff,new_amount2,new_gp,legacy_gp,gp_diff,new_term_gp,legacy_term_gp,term_gp_diff,abs_revenue_diff,abs_gp_diff,abs_term_gp_diff
1346227,38918.64,,38918.64,31134.9,7783.74,,7783.74,0.0,,0.0,38918.64,7783.74,0.0
1346228,3738.0,748.0,2990.0,1794.0,1570.0,374.0,1196.0,0.0,0.0,0.0,2990.0,1196.0,0.0
1346234,10244.21,10244.21,0.0,4865.63,4702.08,4702.08,0.0,2572.9,2572.9,0.0,0.0,0.0,0.0
1346235,33750.0,33750.0,0.0,,33750.0,33750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346239,1367.1,1302.0,65.1,1162.04,205.06,195.3,9.76,0.0,0.0,0.0,65.1,9.76,0.0
1346244,4745.66,1497.0,3248.66,2384.49,1987.17,673.97,1313.2,0.0,0.0,0.0,3248.66,1313.2,0.0
1346245,1179.0,1179.0,0.0,,589.5,589.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346249,2494.0,499.0,1995.0,1197.0,1047.5,249.5,798.0,0.0,0.0,0.0,1995.0,798.0,0.0
1346254,27042.75,25755.0,1287.75,22923.81,4118.94,3922.8,196.14,0.0,0.0,0.0,1287.75,196.14,0.0
1346255,16315.0,16315.0,0.0,9341.15,6973.85,6973.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346259,2474.53,495.0,1979.53,1153.13,1073.9,247.5,826.4,0.0,0.0,0.0,1979.53,826.4,0.0
1346262,1682.1,1602.0,80.1,1429.79,252.31,240.3,12.01,0.0,0.0,0.0,80.1,12.01,0.0
1346270,2364.6,2252.0,112.6,1982.4,382.2,364.0,18.2,0.0,0.0,0.0,112.6,18.2,0.0
1346273,22884.2,22884.2,0.0,16394.2,6490.0,6490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1346284,28472.42,7952.0,20520.42,15278.95,11426.97,3395.47,8031.5,0.0,0.0,0.0,20520.42,8031.5,0.0
1347497,907.2,864.0,43.2,771.12,136.08,129.6,6.48,0.0,0.0,0.0,43.2,6.48,0.0
1347511,92606.74,1125.0,91481.74,54913.76,37692.98,1125.0,36567.98,0.0,0.0,0.0,91481.74,36567.98,0.0
1347524,277143.7,40953.0,236190.7,236596.28,20070.92,20476.5,-405.58,0.0,0.0,0.0,236190.7,405.58,0.0
1347542,2436.0,314.0,2122.0,1273.2,1005.8,157.0,848.8,0.0,0.0,0.0,2122.0,848.8,0.0
1347558,599.0,599.0,0.0,258.95,240.05,240.05,0.0,140.05,140.05,0.0,0.0,0.0,0.0
1347572,4620.0,4400.0,220.0,3911.46,708.54,674.8,33.74,0.0,0.0,0.0,220.0,33.74,0.0
1347578,33279.93,2847.0,30432.93,19033.83,12822.6,1423.5,11399.1,0.0,0.0,0.0,30432.93,11399.1,0.0
1347580,621.6,592.0,29.6,497.28,124.32,118.4,5.92,0.0,0.0,0.0,29.6,5.92,0.0
1347584,1960.0,1960.0,0.0,,1960.0,1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347586,1869.0,374.0,1495.0,897.0,785.0,187.0,598.0,0.0,0.0,0.0,1495.0,598.0,0.0
1347592,6026.0,6026.0,0.0,2829.6,2541.4,2541.4,0.0,683.7,683.7,0.0,0.0,0.0,0.0
